2010 SOC code	2010 Census Code	2010 Census Title 	2018 SOC Code	2018 Census Code	2018 Census Title 
11-1011	10	Chief Executives	11-1011	10	Chief Executives
11-1021	20	General and Operations Managers	11-1021	20	General and Operations Managers
11-1031	30	Legislators	11-1031	30	Legislators
Nov-11	40	Advertising and Promotions Managers	Nov-11	40	Advertising and Promotions Managers
Nov-20	50	Marketing and Sales Managers			
			Nov-21	51	Marketing Managers
			Nov-22	52	Sales Managers
Nov-31	60	Public Relations and Fundraising Managers	Nov-30	60	Public Relations and Fundraising Managers
					Public Relations Managers (11-2032)
					Fundraising Managers (11-2033)
Nov-11	100	Administrative Services Managers			
			Nov-12	101	Administrative Services Managers
			Nov-13	102	Facilities Managers
Nov-21	110	Computer and Information Systems Managers	Nov-21	110	Computer and Information Systems Managers
Nov-31	120	Financial Managers	Nov-31	120	Financial Managers
					
Nov-11	135	Compensation and Benefits Managers	Nov-11	135	Compensation and Benefits Managers
Nov-21	136	Human Resources Managers	Nov-21	136	Human Resources Managers
Nov-31	137	Training and Development Managers	Nov-31	137	Training and Development Managers
Nov-51	140	Industrial Production Managers	Nov-51	140	Industrial Production Managers
Nov-61	150	Purchasing Managers	Nov-61	150	Purchasing Managers
Nov-71	160	"Transportation, Storage, and Distribution Managers"	Nov-71	160	"Transportation, Storage, and Distribution Managers"
					
Nov-13	205	"Farmers, Ranchers, and Other Agricultural Managers"	Nov-13	205	"Farmers, Ranchers, and Other Agricultural Managers"
					
Nov-21	220	Construction Managers	Nov-21	220	Construction Managers
Nov-30	230	Education Administrators	Nov-30	230	Education and Childcare Administrators 
					"Education and Childcare Administrators, Preschool and Daycare (11-9031)"
					"Education Administrators, Kindergarten through Secondary (11-9032)"
					"Education Administrators, Postsecondary (11-9033)"
					"Education Administrators, All Other (11-9039)"
Nov-41	300	Architectural and Engineering Managers	Nov-41	300	Architectural and Engineering Managers
Nov-51	310	Food Service Managers	Nov-51	310	Food Service Managers
Nov-61	325	Funeral Service Managers	Nov-71	325	Funeral Home Managers
Nov-71	330	Gaming Managers	Nov-70	335	Entertainment and Recreation Managers
					Gambling Managers (11-9071)
					"Entertainment and Recreation Managers, Except Gambling (11-9072)"
