__typename,dateString,countryCode,countryName,sectorCode,sectorName,value
HiringLabSectoralPosting,2020-02-01,US,United States,arts,Arts & Entertainment,100
HiringLabSectoralPosting,2020-02-01,US,United States,finance,Banking & Finance,100
HiringLabSectoralPosting,2020-02-01,US,United States,legal,Legal,100
HiringLabSectoralPosting,2020-02-01,US,United States,management,Management,100
HiringLabSectoralPosting,2020-02-01,US,United States,mednurse,Nursing,100
HiringLabSectoralPosting,2020-02-01,US,United States,techsoftware,Software Development,100
HiringLabSectoralPosting,2020-02-02,US,United States,arts,Arts & Entertainment,99.71
HiringLabSectoralPosting,2020-02-02,US,United States,finance,Banking & Finance,99.94
HiringLabSectoralPosting,2020-02-02,US,United States,legal,Legal,99.98
HiringLabSectoralPosting,2020-02-02,US,United States,management,Management,100.15
HiringLabSectoralPosting,2020-02-02,US,United States,mednurse,Nursing,99.86
HiringLabSectoralPosting,2020-02-02,US,United States,techsoftware,Software Development,99.81
HiringLabSectoralPosting,2020-02-03,US,United States,arts,Arts & Entertainment,99.42
HiringLabSectoralPosting,2020-02-03,US,United States,finance,Banking & Finance,99.91
HiringLabSectoralPosting,2020-02-03,US,United States,legal,Legal,99.98
HiringLabSectoralPosting,2020-02-03,US,United States,management,Management,100.25
HiringLabSectoralPosting,2020-02-03,US,United States,mednurse,Nursing,99.77
HiringLabSectoralPosting,2020-02-03,US,United States,techsoftware,Software Development,99.66
HiringLabSectoralPosting,2020-02-04,US,United States,arts,Arts & Entertainment,99
HiringLabSectoralPosting,2020-02-04,US,United States,finance,Banking & Finance,99.69
HiringLabSectoralPosting,2020-02-04,US,United States,legal,Legal,100
HiringLabSectoralPosting,2020-02-04,US,United States,management,Management,100.32
HiringLabSectoralPosting,2020-02-04,US,United States,mednurse,Nursing,99.69
HiringLabSectoralPosting,2020-02-04,US,United States,techsoftware,Software Development,99.45
HiringLabSectoralPosting,2020-02-05,US,United States,arts,Arts & Entertainment,98.89
HiringLabSectoralPosting,2020-02-05,US,United States,finance,Banking & Finance,99.62
HiringLabSectoralPosting,2020-02-05,US,United States,legal,Legal,99.91
HiringLabSectoralPosting,2020-02-05,US,United States,management,Management,100.51
HiringLabSectoralPosting,2020-02-05,US,United States,mednurse,Nursing,99.63
